CountryName,LifeExpectancy,GDPercapita
Afghanistan,60.5091219512,687.2454749827
Angola,51.464,5482.4280489196
Albania,77.3504634146,3999.9253101227
ArabWorld,69.9497024316,7610.9627566665
UnitedArabEmirates,76.9578780488,41691.6950339426
Argentina,76.0126829268,11573.0649671755
Armenia,74.4372195122,3351.3813643981
AntiguaandBarbuda,75.6653170732,12733.4904316795
Australia,82.0951219512,67441.59338677
Austria,80.9365853659,46791.7809982471
Azerbaijan,70.6249512195,7165.0319563647
Burundi,53.6287560976,251.0145229839
Belgium,80.3853658537,43398.6905146034
Benin,59.1194878049,751.9163167908
BurkinaFaso,55.8620243902,651.6532780997
Bangladesh,70.2948536585,752.1560525138
Bulgaria,74.3146341463,6976.8534443175
Bahrain,76.536195122,23039.6842219595
"Bahamas,The",74.9144634146,21908.2804602645
BosniaandHerzegovina,76.1211463415,4555.6445695901
Belarus,72.0634146341,6685.0187489763
Bermuda,79.2885365854,84460.3277474308
Bolivia,66.9266341463,2575.6836947783
Brazil,73.6178780488,11339.5211084814
Barbados,75.1320243902,14917.1495051568
BruneiDarussalam,78.3734634146,41126.6128435587
Bhutan,67.8892682927,2398.9058187659
Botswana,46.9907073171,7238.019365113
CentralAfricanRepublic,49.4753902439,482.669726634
Canada,81.2380487805,51206.1555920374
Switzerland,82.6975609756,78927.597913976
Chile,79.5726585366,15452.1735981951
China,75.1995121951,6091.0143517459
Coted'Ivoire,50.4017317073,1243.986074645
Cameroon,54.5875121951,1166.9134098048
"Congo,Rep.",58.2965609756,3153.7394611312
Colombia,73.7770731707,7747.8413209319
Comoros,60.644,830.5196682019
CaboVerde,74.5437317073,3695.4244867045
CostaRica,79.7050243902,9386.3048352874
Caribbeansmallstates,71.7986120968,9323.4141443094
Cyprus,79.6371219512,26070.3674278903
CzechRepublic,78.0756097561,18689.967165684
Germany,80.8926829268,42597.3670829671
Denmark,80.0512195122,56363.9448218573
DominicanRepublic,73.2329756098,5745.7798782116
Algeria,70.8821707317,5347.7047344232
EastAsia&Pacific(developingonly),73.8220441364,5186.5832000014
EastAsia&Pacific(allincomelevels),74.7326544395,9039.6088794365
Europe&CentralAsia(developingonly),72.2731126253,6888.5734151965
Europe&CentralAsia(allincomelevels),76.6989693886,23847.7098247017
Ecuador,76.1925609756,5424.6336106847
"Egypt,ArabRep.",70.9072439024,3256.0184688792
Euroarea,81.6144353407,36648.7674357731
Eritrea,62.2347804878,504.3021911507
Spain,82.3780487805,28273.7195840773
Estonia,76.4268292683,16832.8005012587
